Concurso;bola 1;bola 2;bola 3;bola 4;bola 5;bola 6;bola 7;bola 8;bola 9;bola 10;bola 11;bola 12;bola 13;bola 14;bola 15
1;18;20;25;23;10;11;24;14;6;2;13;9;5;16;3
2;23;15;5;4;12;16;20;6;11;19;24;1;9;13;7
3;20;23;12;8;6;1;7;11;14;4;16;10;9;17;24
4;16;5;25;24;23;8;12;2;17;18;1;10;4;19;13
5;15;13;20;2;11;24;9;16;4;23;25;12;8;19;1
6;23;19;1;5;7;21;16;10;15;25;6;2;12;4;17
7;22;4;15;8;16;14;21;23;12;1;25;19;7;10;18
8;19;16;18;9;13;8;5;25;17;10;6;15;1;22;20
9;21;4;17;5;3;13;16;9;20;24;25;19;11;15;10
10;24;19;8;23;6;2;20;11;9;3;4;10;5;12;14
11;24;9;8;19;20;22;6;10;11;16;7;25;23;2;12
12;11;5;25;1;9;8;16;4;7;24;17;2;12;14;10
13;13;6;10;5;8;14;3;11;16;15;9;17;19;7;23
14;14;21;13;19;20;6;9;5;7;23;18;1;15;2;25
15;23;6;21;4;10;24;16;1;15;2;8;19;12;18;25
16;24;17;5;8;7;12;13;2;15;10;19;25;23;21;6
17;13;20;17;1;6;7;2;14;5;9;16;19;3;21;18
18;2;23;10;7;11;14;17;22;15;6;24;8;19;20;18
19;15;17;10;23;11;24;13;14;6;2;8;5;20;16;7
20;4;9;8;24;16;20;3;17;18;19;7;6;23;14;10
21;5;2;1;22;19;8;24;4;25;23;18;20;14;11;16
22;13;15;5;9;7;10;1;3;22;2;25;14;6;4;12
23;10;11;5;19;18;14;6;4;20;1;8;3;12;16;17
24;1;19;21;14;2;23;25;5;20;11;7;10;24;17;3
25;4;23;20;2;5;13;7;9;24;3;1;6;14;22;16
26;19;11;7;16;8;21;5;10;20;13;23;9;17;14;22
27;25;6;22;21;11;24;3;14;12;13;20;8;10;15;18
28;18;21;11;7;9;3;20;16;14;12;13;17;1;19;10
29;13;14;6;1;24;4;8;5;17;22;21;19;20;9;16
30;22;2;1;17;8;4;19;20;11;14;6;21;7;23;3
31;1;3;22;14;21;17;24;15;20;13;2;19;4;25;9
32;10;14;9;16;15;7;22;6;4;2;1;17;23;11;20
33;8;20;12;16;10;21;5;2;23;19;11;24;1;14;7
34;7;19;16;10;23;4;18;11;8;9;20;21;1;2;15
35;12;1;13;23;19;21;17;11;22;6;25;16;14;5;4
36;7;23;10;20;1;21;4;8;11;19;17;22;24;14;5
37;24;20;5;15;10;22;21;3;1;23;11;4;13;8;9
38;14;13;8;16;1;10;3;7;15;25;9;2;24;6;22
39;14;15;7;19;8;9;22;17;23;18;2;11;24;13;21
40;10;17;16;12;14;24;8;7;5;20;21;1;13;2;22
41;25;4;23;18;17;19;15;13;9;3;12;20;21;16;2
42;1;24;12;25;4;3;21;8;11;6;15;22;14;17;5
43;23;22;3;17;1;24;14;19;8;6;9;18;20;7;10
44;23;21;12;19;5;4;6;13;14;10;3;18;24;11;25
45;1;23;14;16;2;19;18;7;21;9;24;25;17;5;3
46;6;14;8;11;24;18;19;23;2;5;4;21;10;1;25
47;6;8;25;18;20;5;11;10;15;13;4;22;3;2;1
48;15;6;21;20;2;17;5;23;11;7;13;16;18;19;22
49;11;2;24;8;20;16;4;13;19;6;15;22;5;23;21
50;2;3;7;25;21;23;10;1;13;11;20;6;12;19;9
51;8;1;13;14;5;22;21;7;6;23;3;17;20;11;16
52;25;4;16;2;15;21;12;9;11;8;24;23;1;13;22
53;23;3;7;17;20;14;12;2;18;24;6;1;11;9;19
